Year;Age;Female;Male;Total
1904;55-59;993100.00;898700.00;1891800.00
1904;60-64;862500.00;799100.00;1661600.00
1904;65-69;710500.00;628700.00;1339200.00
1904;70-74;521500.00;441000.00;962500.00
1904;75-79;326900.00;265700.00;592600.00
1904;80-84;161992.11;116366.08;278358.19
1904;85-89;52159.79;32293.63;84453.42
1904;90-94;10458.69;5339.14;15797.83
1904;95-99;1250.05;519.63;1769.68
1904;100-104;69.68;24.50;94.18
1904;105-109;0.00;0.00;0.00
1904;110+;0.00;0.00;0.00
1905;0;359700.00;365300.00;725000.00
1905;1-4;1367400.00;1377100.00;2744500.00
1905;5-9;1645200.00;1651500.00;3296700.00
1905;10-14;1606400.00;1609200.00;3215600.00
1905;15-19;1611700.00;1603000.00;3214700.00
1905;20-24;1605500.00;1560700.00;3166200.00
1905;25-29;1564200.00;1537200.00;3101400.00
1905;30-34;1394300.00;1416300.00;2810600.00
1905;35-39;1389200.00;1334400.00;2723600.00
1905;40-44;1280700.00;1268500.00;2549200.00
1905;45-49;1166200.00;1136700.00;2302900.00
1905;50-54;1078600.00;1037400.00;2116000.00
1905;55-59;991600.00;894900.00;1886500.00
1905;60-64;867100.00;801200.00;1668300.00
1905;65-69;715100.00;633000.00;1348100.00
1905;70-74;520100.00;437300.00;957400.00
1905;75-79;328400.00;265000.00;593400.00
1905;80-84;162389.04;116316.35;278705.39
1905;85-89;52451.35;32248.47;84699.82
1905;90-94;10823.49;5498.58;16322.07
1905;95-99;1298.88;552.93;1851.81
1905;100-104;74.71;31.02;105.73
1905;105-109;1.98;1.41;3.39
1905;110+;0.00;0.00;0.00
1906;0;367000.00;373100.00;740100.00
1906;1-4;1354300.00;1361600.00;2715900.00
1906;5-9;1652100.00;1660300.00;3312400.00
1906;10-14;1601300.00;1616700.00;3218000.00
1906;15-19;1603900.00;1590300.00;3194200.00
1906;20-24;1600400.00;1559700.00;3160100.00
1906;25-29;1558800.00;1526500.00;3085300.00
1906;30-34;1436700.00;1436500.00;2873200.00
1906;35-39;1371600.00;1335500.00;2707100.00
1906;40-44;1273500.00;1264200.00;2537700.00
1906;45-49;1193500.00;1158500.00;2352000.00
1906;50-54;1071000.00;1028300.00;2099300.00
1906;55-59;989700.00;893500.00;1883200.00
1906;60-64;862000.00;798500.00;1660500.00
1906;65-69;724700.00;631100.00;1355800.00
1906;70-74;518600.00;440500.00;959100.00
1906;75-79;334700.00;266900.00;601600.00
1906;80-84;162200.30;115101.93;277302.23
1906;85-89;53021.23;32137.64;85158.87
1906;90-94;10628.98;5314.52;15943.50
1906;95-99;1292.11;507.71;1799.82
1906;100-104;95.04;34.09;129.13
1906;105-109;6.00;1.00;7.00
1906;110+;0.00;0.00;0.00
1907;0;357600.00;364200.00;721800.00
1907;1-4;1351600.00;1359400.00;2711000.00
1907;5-9;1648900.00;1659700.00;3308600.00
1907;10-14;1622700.00;1630500.00;3253200.00
1907;15-19;1591600.00;1583700.00;3175300.00
1907;20-24;1602900.00;1559500.00;3162400.00
1907;25-29;1528300.00;1509100.00;3037400.00
1907;30-34;1511500.00;1495400.00;3006900.00
1907;35-39;1319800.00;1299200.00;2619000.00
1907;40-44;1304000.00;1276100.00;2580100.00
1907;45-49;1191700.00;1166200.00;2357900.00
1907;50-54;1069600.00;1022500.00;2092100.00
1907;55-59;1003200.00;912000.00;1915200.00
1907;60-64;865500.00;787000.00;1652500.00
1907;65-69;721100.00;634400.00;1355500.00
1907;70-74;528600.00;443800.00;972400.00
1907;75-79;335100.00;266200.00;601300.00
1907;80-84;163908.84;114870.33;278779.17
1907;85-89;52621.49;31628.58;84250.07
1907;90-94;10748.74;5262.57;16011.31
1907;95-99;1196.68;430.51;1627.19
1907;100-104;95.24;40.34;135.58
1907;105-109;6.00;2.00;8.00
1907;110+;0.00;0.00;0.00
1908;0;345700.00;354800.00;700500.00
1908;1-4;1337500.00;1345700.00;2683200.00
1908;5-9;1662500.00;1673000.00;3335500.00
1908;10-14;1630500.00;1642300.00;3272800.00
1908;15-19;1586100.00;1580100.00;3166200.00
1908;20-24;1589600.00;1550800.00;3140400.00
1908;25-29;1542200.00;1509400.00;3051600.00
1908;30-34;1506300.00;1496800.00;3003100.00
1908;35-39;1334500.00;1321100.00;2655600.00
1908;40-44;1308400.00;1275900.00;2584300.00
1908;45-49;1213800.00;1185200.00;2399000.00
1908;50-54;1050500.00;1006500.00;2057000.00
1908;55-59;1033100.00;938200.00;1971300.00
1908;60-64;846400.00;761300.00;1607700.00
1908;65-69;730300.00;641400.00;1371700.00
1908;70-74;528400.00;441900.00;970300.00
1908;75-79;333200.00;260200.00;593400.00
1908;80-84;163444.63;113706.76;277151.39
1908;85-89;52836.95;31234.96;84071.91
1908;90-94;10509.02;5107.65;15616.67
1908;95-99;1158.98;438.37;1597.35
1908;100-104;72.24;29.51;101.75
1908;105-109;5.00;4.00;9.00
1908;110+;0.00;0.00;0.00
1909;0;352600.00;362300.00;714900.00
1909;1-4;1323000.00;1334800.00;2657800.00
1909;5-9;1660400.00;1675400.00;3335800.00
1909;10-14;1627900.00;1645100.00;3273000.00
1909;15-19;1590400.00;1577500.00;3167900.00
1909;20-24;1591800.00;1555900.00;3147700.00
1909;25-29;1539100.00;1510700.00;3049800.00
1909;30-34;1515400.00;1501000.00;3016400.00
1909;35-39;1351200.00;1346100.00;2697300.00
1909;40-44;1301300.00;1266400.00;2567700.00
1909;45-49;1229700.00;1197500.00;2427200.00
1909;50-54;1065800.00;1013600.00;2079400.00
1909;55-59;997000.00;931200.00;1928200.00
1909;60-64;881400.00;766900.00;1648300.00
1909;65-69;729600.00;641800.00;1371400.00
1909;70-74;534600.00;445000.00;979600.00
1909;75-79;332400.00;258300.00;590700.00
1909;80-84;165564.59;114846.26;280410.85
1909;85-89;54266.20;31785.88;86052.08
1909;90-94;10537.35;5012.70;15550.05
1909;95-99;1177.15;457.44;1634.59
1909;100-104;76.48;24.17;100.65
1909;105-109;2.00;4.34;6.34
1909;110+;0.00;0.00;0.00
1910;0;348700.00;356700.00;705400.00
1910;1-4;1318800.00;1333300.00;2652100.00
1910;5-9;1660100.00;1675500.00;3335600.00
1910;10-14;1626300.00;1644400.00;3270700.00
1910;15-19;1599300.00;1580600.00;3179900.00
1910;20-24;1579200.00;1554800.00;3134000.00
1910;25-29;1553900.00;1518600.00;3072500.00
1910;30-34;1505100.00;1492300.00;2997400.00
1910;35-39;1376800.00;1372200.00;2749000.00
1910;40-44;1301200.00;1267000.00;2568200.00
1910;45-49;1226000.00;1191800.00;2417800.00
1910;50-54;1086400.00;1037100.00;2123500.00
1910;55-59;993300.00;930300.00;1923600.00
1910;60-64;880500.00;760000.00;1640500.00
1910;65-69;736300.00;642300.00;1378600.00
1910;70-74;537900.00;445700.00;983600.00
1910;75-79;333200.00;256800.00;590000.00
1910;80-84;165061.10;114043.30;279104.40
1910;85-89;54290.79;31595.20;85885.99
1910;90-94;10618.79;4930.81;15549.60
1910;95-99;1226.22;451.07;1677.29
1910;100-104;58.48;18.34;76.82
1910;105-109;3.00;3.34;6.34
1910;110+;0.00;0.00;0.00
